Conditions,start_year,Conditions_total,start_year_total
3 or More Rib Fractures,2012,1,300
Abacterial Chronic Prostatitis/Chronic Pelvic Pain Syndrome,2008,1,226
"Abdomen, Acute|Other Acute Pain|Flank Pain, Acute|Back Pain, Acute|Extremity Pain, Acute",2012,1,300
Abdominal Body Contouring Surgery|Postoperative Pain,2012,1,300
Abdominal Cancer,2005,1,136
Abdominal Hysterectomy (& Wertheim),2008,1,226
"Abdominal Muscles/Ultrasonography|Adult|Ambulatory Surgical Procedures|Anesthetics, Local/Administration & Dosage|Ropivacaine/Administration & Dosage|Ropivacaine/Analogs & Derivatives|Hernia, Inguinal/Surgery|Humans|Nerve Block/Methods|Pain Measurement/Methods|Pain, Postoperative/Prevention & Control|Ultrasonography, Interventional",2012,1,300
"Abdominal Muscles/Ultrasonography|Adult|Anesthetics, Local/Administration & Dosage|Ropivacaine/Administration & Dosage|Ropivacaine/Analogs & Derivatives|Cesarean Section|Humans|Nerve Block/Methods|Pain Measurement/Methods|Pain, Postoperative/Prevention & Control|Ultrasonography, Interventional",2012,1,300
Abdominal Pain,2005,1,136
Abdominal Pain,2007,1,200
Abdominal Pain,2008,2,226
Abdominal Pain,2009,1,251
Abdominal Pain,2012,1,300
Abdominal Pain,2015,2,318
Abdominal Pain,2016,1,316
Abdominal Pain,2017,2,332
Abdominal Pain,2018,1,279
Abdominal Pain Care,2011,1,283
Abdominal Pain Upper,2009,1,251
Abdominal Pain|Abdominal Cramps|Flatulence,2008,1,226
Abdominal Pain|Back Pain|Dyspnea|Headache|Weakness,2009,1,251
Abdominal Pain|Deglutition Disorders|Fecal Incontinence|Nausea|Diarrhea|Constipation|Gastroesophageal Reflux,2014,1,328
Abdominal Pain|Deglutition Disorders|Fecal Incontinence|Nausea|Diarrhea|Constipation|Gastroesophageal Reflux,2017,1,332
Abdominal Pain|Functional Gastrointestinal Disorders,2016,1,316
Abdominal Pain|Irritable Bowel Syndrome,2009,1,251
Abdominal Pain|Irritable Bowel Syndrome|IBS,2017,1,332
Abdominal Pain|Pelvic Pain,2015,2,318
Abdominal Pain|Surgical Adhesions,2006,1,194
Abdominal Surgery|Thoracic Surgery,2013,1,284
Abdominal Wall Hernia|Pancreatic Diseases|Bowel Disease|Gastric Disease,2018,1,279
Abdominoplasty,2018,1,279
Abortion in First Trimester,2012,1,300
Abortion in First Trimester,2017,1,332
Abortion in First Trimester,2018,1,279
Abortion Late|Pain,2015,1,318
Abortion Second Trimester,2018,1,279
"Abortion, Induced|Cervical Preparation|Pain",2017,1,332
"Abortion, Induced|Pain",2007,1,200
"Abortion, Induced|Pain Management",2012,1,300
"Abscess, Intra-Abdominal|Abdominal Abscess|Abdomen, Acute|Abdominal Pain|Appendicitis|Rupture|Infection|Intestinal Perforation|Peritonitis|Ileus",2010,1,234
Abscess|Fracture,2012,1,300
Abscess|Pain,2012,1,300
Abscess|Pain,2016,1,316
Acetaminophen Overdose|Pain,2012,1,300
Achalasia|Dysphagia|GERD|Chest Pain|Post Fundoplication,2010,1,234
Achilles Pain|Achilles Tendinosis|Heel Pain,2007,1,200
Achilles Tendinopathy|Achilles Tendonitis|Achilles Tendon Pain|Achilles Degeneration|Achillodynia,2018,1,279
Achilles Tendon Pain,2013,1,284
Achilles Tendon Pain,2016,1,316
ACL Repair|Meniscectomy|Bankart Repair,2005,1,136
Acne Vulgaris,2009,1,251
Acute Abdomen,2013,1,284
Acute Ankle Sprain,2013,1,284
Acute Blood Loss Anemia|Postoperative Pain|Pregnancy,2016,1,316
