FIPS,year,county.x,State.x,prescription_rate_per100,State.y,FIPS_State,county.y,Population,"lower_Estimated Age adjusted Death Rate, 16 Categories (in ranges)","upper_Estimated Age adjusted Death Rate, 16 Categories (in ranges)"
10001,2006,"Kent, DE",DE,80.9,Delaware,10,"Kent , DE",149704,8,9.9
10001,2007,"Kent, DE",DE,83.8,Delaware,10,"Kent , DE",153969,10,11.9
10001,2008,"Kent, DE",DE,83.2,Delaware,10,"Kent , DE",157925,10,11.9
10001,2009,"Kent, DE",DE,84.8,Delaware,10,"Kent , DE",160081,10,11.9
10001,2010,"Kent, DE",DE,86.8,Delaware,10,"Kent , DE",162990,12,13.9
10001,2011,"Kent, DE",DE,88,Delaware,10,"Kent , DE",165242,12,13.9
10001,2012,"Kent, DE",DE,87.4,Delaware,10,"Kent , DE",167611,12,13.9
10001,2013,"Kent, DE",DE,91.7,Delaware,10,"Kent , DE",169385,14,15.9
10001,2014,"Kent, DE",DE,94.4,Delaware,10,"Kent , DE",171773,14,15.9
10001,2015,"Kent, DE",DE,84.4,Delaware,10,"Kent , DE",173533,16,17.9
10001,2016,"Kent, DE",DE,75.9,Delaware,10,"Kent , DE",174827,16,17.9
10003,2006,"New Castle, DE",DE,81.6,Delaware,10,"New Castle , DE",527174,10,11.9
10003,2007,"New Castle, DE",DE,87,Delaware,10,"New Castle , DE",530555,10,11.9
10003,2008,"New Castle, DE",DE,89.8,Delaware,10,"New Castle , DE",533958,12,13.9
10003,2009,"New Castle, DE",DE,91.7,Delaware,10,"New Castle , DE",536898,12,13.9
10003,2010,"New Castle, DE",DE,93.3,Delaware,10,"New Castle , DE",538911,14,15.9
10003,2011,"New Castle, DE",DE,90.8,Delaware,10,"New Castle , DE",542349,14,15.9
10003,2012,"New Castle, DE",DE,85.4,Delaware,10,"New Castle , DE",546211,14,15.9
10003,2013,"New Castle, DE",DE,83.3,Delaware,10,"New Castle , DE",549529,16,17.9
10003,2014,"New Castle, DE",DE,81.2,Delaware,10,"New Castle , DE",553347,16,17.9
10003,2015,"New Castle, DE",DE,78.3,Delaware,10,"New Castle , DE",556779,18,19.9
10003,2016,"New Castle, DE",DE,74.7,Delaware,10,"New Castle , DE",556987,20,21.9
10005,2006,"Sussex, DE",DE,105.7,Delaware,10,"Sussex , DE",182390,10,11.9
10005,2007,"Sussex, DE",DE,114.4,Delaware,10,"Sussex , DE",187225,10,11.9
10005,2008,"Sussex, DE",DE,120.6,Delaware,10,"Sussex , DE",191991,10,11.9
10005,2009,"Sussex, DE",DE,123.6,Delaware,10,"Sussex , DE",194751,12,13.9
10005,2010,"Sussex, DE",DE,134,Delaware,10,"Sussex , DE",197890,12,13.9
10005,2011,"Sussex, DE",DE,133.7,Delaware,10,"Sussex , DE",200325,12,13.9
10005,2012,"Sussex, DE",DE,122.6,Delaware,10,"Sussex , DE",203277,14,15.9
10005,2013,"Sussex, DE",DE,118.5,Delaware,10,"Sussex , DE",206439,14,15.9
10005,2014,"Sussex, DE",DE,113.8,Delaware,10,"Sussex , DE",210848,16,17.9
10005,2015,"Sussex, DE",DE,100.1,Delaware,10,"Sussex , DE",215622,16,17.9
10005,2016,"Sussex, DE",DE,93.1,Delaware,10,"Sussex , DE",220251,18,19.9
1001,2006,"Autauga, AL",AL,134.8,Alabama,1,"Autauga , AL",51328,6,7.9
1001,2007,"Autauga, AL",AL,135.8,Alabama,1,"Autauga , AL",52405,6,7.9
1001,2008,"Autauga, AL",AL,144.9,Alabama,1,"Autauga , AL",53277,6,7.9
1001,2009,"Autauga, AL",AL,147.5,Alabama,1,"Autauga , AL",54135,6,7.9
1001,2010,"Autauga, AL",AL,151.7,Alabama,1,"Autauga , AL",54660,8,9.9
1001,2011,"Autauga, AL",AL,144.1,Alabama,1,"Autauga , AL",55253,8,9.9
1001,2012,"Autauga, AL",AL,157.8,Alabama,1,"Autauga , AL",55175,8,9.9
1001,2013,"Autauga, AL",AL,166.7,Alabama,1,"Autauga , AL",55038,8,9.9
1001,2014,"Autauga, AL",AL,145.3,Alabama,1,"Autauga , AL",55290,10,11.9
1001,2015,"Autauga, AL",AL,129.9,Alabama,1,"Autauga , AL",55347,10,11.9
1001,2016,"Autauga, AL",AL,129.6,Alabama,1,"Autauga , AL",55416,10,11.9
