FIPS,year,prescription_rate_per100,State.y,FIPS_State,county.y,Population,lower,upper
10001,2006,80.9,Delaware,10,"Kent , DE",149704,8,9.9
10001,2007,83.8,Delaware,10,"Kent , DE",153969,10,11.9
10001,2008,83.2,Delaware,10,"Kent , DE",157925,10,11.9
10001,2009,84.8,Delaware,10,"Kent , DE",160081,10,11.9
10001,2010,86.8,Delaware,10,"Kent , DE",162990,12,13.9
10001,2011,88,Delaware,10,"Kent , DE",165242,12,13.9
10001,2012,87.4,Delaware,10,"Kent , DE",167611,12,13.9
10001,2013,91.7,Delaware,10,"Kent , DE",169385,14,15.9
10001,2014,94.4,Delaware,10,"Kent , DE",171773,14,15.9
10001,2015,84.4,Delaware,10,"Kent , DE",173533,16,17.9
10001,2016,75.9,Delaware,10,"Kent , DE",174827,16,17.9
10003,2006,81.6,Delaware,10,"New Castle , DE",527174,10,11.9
10003,2007,87,Delaware,10,"New Castle , DE",530555,10,11.9
10003,2008,89.8,Delaware,10,"New Castle , DE",533958,12,13.9
10003,2009,91.7,Delaware,10,"New Castle , DE",536898,12,13.9
10003,2010,93.3,Delaware,10,"New Castle , DE",538911,14,15.9
10003,2011,90.8,Delaware,10,"New Castle , DE",542349,14,15.9
10003,2012,85.4,Delaware,10,"New Castle , DE",546211,14,15.9
10003,2013,83.3,Delaware,10,"New Castle , DE",549529,16,17.9
10003,2014,81.2,Delaware,10,"New Castle , DE",553347,16,17.9
10003,2015,78.3,Delaware,10,"New Castle , DE",556779,18,19.9
10003,2016,74.7,Delaware,10,"New Castle , DE",556987,20,21.9
10005,2006,105.7,Delaware,10,"Sussex , DE",182390,10,11.9
10005,2007,114.4,Delaware,10,"Sussex , DE",187225,10,11.9
10005,2008,120.6,Delaware,10,"Sussex , DE",191991,10,11.9
10005,2009,123.6,Delaware,10,"Sussex , DE",194751,12,13.9
10005,2010,134,Delaware,10,"Sussex , DE",197890,12,13.9
10005,2011,133.7,Delaware,10,"Sussex , DE",200325,12,13.9
10005,2012,122.6,Delaware,10,"Sussex , DE",203277,14,15.9
10005,2013,118.5,Delaware,10,"Sussex , DE",206439,14,15.9
10005,2014,113.8,Delaware,10,"Sussex , DE",210848,16,17.9
10005,2015,100.1,Delaware,10,"Sussex , DE",215622,16,17.9
10005,2016,93.1,Delaware,10,"Sussex , DE",220251,18,19.9
1001,2006,134.8,Alabama,1,"Autauga , AL",51328,6,7.9
1001,2007,135.8,Alabama,1,"Autauga , AL",52405,6,7.9
1001,2008,144.9,Alabama,1,"Autauga , AL",53277,6,7.9
1001,2009,147.5,Alabama,1,"Autauga , AL",54135,6,7.9
1001,2010,151.7,Alabama,1,"Autauga , AL",54660,8,9.9
1001,2011,144.1,Alabama,1,"Autauga , AL",55253,8,9.9
1001,2012,157.8,Alabama,1,"Autauga , AL",55175,8,9.9
1001,2013,166.7,Alabama,1,"Autauga , AL",55038,8,9.9
1001,2014,145.3,Alabama,1,"Autauga , AL",55290,10,11.9
1001,2015,129.9,Alabama,1,"Autauga , AL",55347,10,11.9
1001,2016,129.6,Alabama,1,"Autauga , AL",55416,10,11.9
1003,2006,127.8,Alabama,1,"Baldwin , AL",168121,10,11.9
1003,2007,133.2,Alabama,1,"Baldwin , AL",172404,12,13.9
1003,2008,138.3,Alabama,1,"Baldwin , AL",175827,12,13.9
1003,2009,143.9,Alabama,1,"Baldwin , AL",179406,14,15.9
1003,2010,143.8,Alabama,1,"Baldwin , AL",183193,14,15.9
