Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
1,NCT02187198,Buprenorphine Treatment for Opioid Dependence,,Recruiting,No Results Available,Opioid Dependence,Drug: Buprenorphine,Change in Timeline Follow-Back (TLFB) assessment,Yale University|United States Department of Defense,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1|Phase 2,20,Other|U.S. Fed,Interventional,Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,IP0040,2015-03-01,2018-03-01,2018-03-01,2014-07-10,null,2017-10-25,"VA Connecticut Healthcare System - West Haven Campus, West Haven, Connecticut, United States",,https://ClinicalTrials.gov/show/NCT02187198
2,NCT01738503,Multiple Dose Pharmacokinetics Depot Buprenorphine in Opioid-Dependent Subjects,,Completed,Has Results,Opioid Related Disorder,Drug: RBP-6000|Drug: Subutex,"Participants With Treatment-Emergent Adverse Events (TEAEs)|Buprenorphine PK: % Fluctuation|Buprenorphine PK: Area Under Plasma Concentration Time Curves (AUC)|Buprenorphine PK: Average Plasma Concentration (Cavg)|Buprenorphine PK: Maximum Observed Plasma Concentration (Cmax)|Buprenorphine PK: Minimum Observed Plasma Concentration (Cmin)|Buprenorphine PK: Swing of Plasma Concentrations|Buprenorphine PK: Time to Maximum Buprenorphine Plasma Concentration (Tmax)|Buprenorphine PK: Accumulation Index in Terms of Area Under the Curve (Rac(AUC))|Buprenorphine PK: Accumulation Index in Terms of Maximum Observed Plasma Drug Concentration (Rac(Cmax))|Buprenorphine PK: Apparent Clearance at Steady-State (CLss/F) Following Injections 4 and 6|Buprenorphine PK: Area Under Plasma Concentration Time Curve From Time Zero Of Injection 4 (AUC0-∞)|Buprenorphine PK: Terminal Phase Half Life (t1/2) Calculated For Injection 4|Norbuprenorphine PK: % Fluctuation|Norbuprenorphine PK: Area Under Plasma Concentration Time Curves (AUC)|Norbuprenorphine PK: Average Plasma Concentration (Cavg)|Norbuprenorphine PK: Maximum Observed Plasma Concentration (Cmax)|Norbuprenorphine PK: Minimum Observed Plasma Concentration (Cmin)|Norbuprenorphine PK: Swing of Plasma Concentrations|Norbuprenorphine PK: Time to Maximum Buprenorphine Plasma Concentration (Tmax)|Norbuprenorphine PK: Accumulation Index in Terms of Area Under the Curve (Rac(AUC))|Norbuprenorphine PK: Accumulation Index in Terms of Maximum Observed Plasma Drug Concentration (Rac(Cmax))|Norbuprenorphine PK: Area Under Plasma Concentration Time Curve From Time Zero Of Injection 4 and 6 (AUC0-∞)|Norbuprenorphine PK: Terminal Phase Half Life (t1/2) Calculated For Injection 4|Change From Baseline in the Clinical Opiate Withdrawal Scale (COWS) Prior to Injections 1, 2, 3, 4 and 6|Change From Baseline in the Subjective Opiate Withdrawal Scale (SOWS) Prior to Injections 1, 2, 3, 4 and 6|Change From Baseline in the Clinical Opioid Craving Visual Analog Scale (VAS) Total Score Prior to Injections 1, 2, 3, 4 and 6|Change From Baseline in the Clinical Global Impression Severity (CGI-S) Scale on Days 1, 7, 29, 57, 85 and 141|Change From Baseline in the Clinical Global Impression Improvement (CGI-I) Scale on Days 7, 29, 57, 85 and 141|Columbia Suicide Severity Rating Scale (C-SSRS): Severity|Percentage of Urine Drug Screen Samples Negative for Opioids",Indivior Inc.,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 2,124,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,RB-US-12-0005,2012-10-01,2014-05-01,2014-05-01,2012-11-30,2018-01-23,2018-02-23,"Vince and Associates Clinical Research, Overland Park, Kansas, United States",,https://ClinicalTrials.gov/show/NCT01738503
3,NCT02737696,Computer-based Prescription Opioid Abuse Prevention for Adolescents,,"Active, not recruiting",No Results Available,Opioid Related Disorders,Behavioral: Web-based prescription opioid prevention for adolescents|Behavioral: JustThinkTwice.gov website (DEA),Negative attitudes and perceived risk associated with their misuse|Intentions to use prescription opioids|Rates of prescription opioid use.|Knowledge about key issues relevant to prescription opioid abuse among youth|Skill acquisition relevant to preventing misuse of prescription opioids (decision making/refusal skills),Dartmouth-Hitchcock Medical Center,All,12 Years to 17 Years   (Child),Not Applicable,431,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,28283,2017-05-15,2018-03-18,2018-09-01,2016-04-14,null,2018-07-17,"Center for Technology and Behavioral Health, Lebanon, New Hampshire, United States",,https://ClinicalTrials.gov/show/NCT02737696
4,NCT00637000,Induction of Opioid-Dependent Individuals Onto Buprenorphine and Buprenorphine/Naloxone,,Completed,Has Results,Opioid-related Disorders,Drug: Buprenorphine soluble film|Drug: Buprenorphine/naloxone film strip|Drug: Placebo,"Severity of Withdrawal Symptoms Measured Using the Clinical Opiate Withdrawal Scale (COWS) at Baseline and the Peak COWS up to 23.5 Hours After the First Administration|Severity of Withdrawal Symptoms Measured Using the Clinical Opiate Withdrawal Scale (COWS) at the End of Induction and the Peak COWS Post Induction|Pupil Diameter Measurements at Baseline and the Maximum Pupil Diameter up to 23.5 Hours After the First Administration|Pupil Diameter Measurements at Baseline and the Minimum Pupil Diameter up to 23.5 Hours After the First Administration|Pupil Diameter Measurements At End of Induction (End of Day 2) and the Minimum Pupil Diameter During the Post Induction Period (Days 3-5)|Visual Analog Scale (VAS) Score at Baseline and the Peak (Maximum Increase) VAS up to 23.5 Hours After First Administration for the Question: ""How High Are You?""|Visual Analog Scale (VAS) Score at Baseline and the Peak (Maximum Increase) VAS up to 23.5 Hours After First Administration for the Question: ""Do You Feel Any Drug Effect?""|Visual Analog Scale (VAS) Score at Baseline and the Peak (Maximum Increase) VAS up to 23.5 Hours After First Administration for the Question: ""Does the Drug Have Any Good Effects?""|Visual Analog Scale (VAS) Score at Baseline and the Peak (Maximum Increase) VAS up to 23.5 Hours After First Administration for the Question: ""Does the Drug Have Any Bad Effects?""|CVisual Analog Scale (VAS) Score at Baseline and the Peak (Maximum Increase) VAS up to 23.5 Hours After First Administration for the Question: ""Do You Like the Drug?""|Visual Analog Scale (VAS) Score at Baseline and the Peak (Maximum Increase) VAS up to 23.5 Hours After First Administration for the Question: ""Does the Drug Make You Sick?""|Visual Analog Scale (VAS) Scores at End of Induction Period and the Post-induction Period (Maximum Increase) for the Question: ""How High Are You?""|Visual Analog Scale (VAS) Scores at End of Induction Period and the Post-induction Period (Maximum Increase) for the Question: ""Do You Feel Any Drug Effect?""|Visual Analog Scale (VAS) Scores at End of Induction Period and the Post-induction Period (Maximum Increase) for the Question: ""Do You Feel Any Good Effects?""|Visual Analog Scale (VAS) Scores at End of Induction Period and the Post-induction Period (Maximum Increase) for the Question: ""Does the Drug Have Any Bad Effects?""|Visual Analog Scale (VAS) Scores at End of Induction Period and the Post-induction Period (Maximum Increase) for the Question: ""Do You Like the Drug?""|Visual Analog Scale (VAS) Scores at End of Induction Period and the Post-induction Period (Maximum Increase) for the Question: ""Does the Drug Make You Sick?""|Summary of Participants With Treatment-Emergent Adverse Events (TEAEs)",Indivior Inc.,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 2,38,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",RB-US-07-0002,2008-03-01,2008-09-01,2008-09-01,2008-03-17,2014-05-09,2017-06-05,"Johns Hopkins University School of Medicine, Baltimore, Maryland, United States",,https://ClinicalTrials.gov/show/NCT00637000
5,NCT03610672,Mobile Intervention for Young Opioid Users,,Recruiting,No Results Available,Opioid-Related Disorders,Behavioral: OD prevention/response training|Behavioral: OD prevention/response training + PI mobile application,Change in opioid use|Change in self-reported injection status via Timeline Followback|Change in HIV/HCV risk behavior|OD|Peer IDU norms,"National Development and Research Institutes, Inc.",All,18 Years to 29 Years   (Adult),Not Applicable,64,Other,Interventional,Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,R34DA043957,2017-09-15,2019-11-28,2020-02-28,2018-08-01,null,2018-08-02,"National Development and Research Institutes, Inc., New York, New York, United States",,https://ClinicalTrials.gov/show/NCT03610672
6,NCT02718352,A Naturalistic Study of Adolescents and Young Adults in Treatment for Opioid Dependence,,Completed,No Results Available,Opioid Dependence,Other: Naturalistic Prospective Cohort,Opioid Use Patterns|Cigarette Use Patterns,Yale University,All,"16 Years to 25 Years   (Child, Adult)",,8,Other,Observational,Observational Model: Case-Only|Time Perspective: Prospective,16010 17074,2016-03-01,2018-02-01,2018-03-01,2016-03-24,null,2018-06-27,"APT Foundation, New Haven, Connecticut, United States",,https://ClinicalTrials.gov/show/NCT02718352
7,NCT03306368,Youth Opioid Recovery Support: A Developmentally-specific Intervention for Home Delivery of Extended Release Naltrexone,YORS,Recruiting,No Results Available,Opioid-Related Disorders,Behavioral: Youth Opioid Recovery Support,Number of weeks retained in treatment|Number of weeks negative for opioid use|Number of patients who linked to after care|Number of XR-NTX doses received|Number of weeks negative for substances other than opiates,Potomac Health Foundations,Female,18 Years to 26 Years   (Adult),Not Applicable,40,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,IRB00144092,2018-02-01,2019-08-01,2019-12-01,2017-10-11,null,2018-04-06,"Mountain Manor Treatment Center, Baltimore, Maryland, United States",,https://ClinicalTrials.gov/show/NCT03306368
8,NCT00218101,Buprenorphine as a Treatment for Individuals Dependent on Analgesic Opioids,,Completed,No Results Available,Opioid-Related Disorders,Drug: Buprenorphine,Substance use|medication compliance|treatment retention|Behavioral and psychological measures (measured during the dose reduction phase),National Institute on Drug Abuse (NIDA)|University of Texas,All,25 Years to 55 Years   (Adult),Phase 2,10,NIH|Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,NIDA-09262-11|P50-09262-11|DPMC,2004-05-01,null,2005-03-01,2005-09-22,null,2017-01-12,"University of Texas Health Science Center, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT00218101
9,NCT00134875,Assessing Abuse Potential of Parenteral Buprenorphine/Naloxone in Non-Dependent Opioid Abusers,,Terminated,No Results Available,Opioid-Related Disorders,Drug: Buprenorphine/naloxone,Opioid agonist effects|Physiologic measures,National Institute of Allergy and Infectious Diseases (NIAID)|National Institute on Drug Abuse (NIDA),All,18 Years to 55 Years   (Adult),Not Applicable,9,NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment",NIDA-08045-3|R01-08045-3|DPMC,2000-12-01,2002-12-01,2017-12-01,2005-08-25,null,2017-01-12,"Johns Hopkins University (BPRU) Bayview Campus, Baltimore, Maryland, United States",,https://ClinicalTrials.gov/show/NCT00134875
10,NCT02437344,Glutamatergic Modulation to Facilitate Naltrexone Initiation in Opioid Dependence,,Completed,Has Results,Opioid Dependence,Drug: CI-581aa|Drug: Naltrexone titration and XR-NTX initiation,Successful Naltrexone Initiation|Withdrawal: Subjective Opioid Withdrawal Scale Scores at Baseline and Administered Subsequently,New York State Psychiatric Institute|National Institute on Drug Abuse (NIDA),All,21 Years to 60 Years   (Adult),Phase 2,16,Other|NIH,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,#7057,2015-01-01,2016-12-01,2016-12-01,2015-05-07,2017-09-06,2017-09-06,"New York State Psychiatric Institute, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT02437344
