Rank,Title,Status,Study Results,conditions,conditions_head,Interventions,Funded Bys,Study Type,start_date,Locations,URL
1,Program to Overcome Pelvic Pain With Yoga,Completed,No Results Available,Pelvic Pain,pelvic,Behavioral: Yoga Therapy,Other,Interventional,2014-10-01,"University of California, San Francisco, San Francisco, California, United States",https://ClinicalTrials.gov/show/NCT02261740
1365,Efficacy of Intranasal Fentanyl at Reducing Pain During Abscess Incision and Drainage (I&D) in Children,Completed,Has Results,Abscess|Pain,pain,Drug: Intranasal Fentanyl|Drug: Intravenous Morphine,Other,Interventional,2012-01-01,"Alexandra & Steven Cohen Children's Emergency Department of Columbia University Medical Center, New York, New York, United States",https://ClinicalTrials.gov/show/NCT01549002
3,"D-cycloserine for the Treatment of Chronic, Refractory Low Back Pain",Recruiting,No Results Available,Low Back Pain|Pain,"Muscle, Bone, and Cartilage Diseases",Drug: D-cycloserine|Drug: Placebo,Other|U.S. Fed,Interventional,2018-03-30,"Northwestern University Feinberg School of Medicine, Chicago, Illinois, United States",https://ClinicalTrials.gov/show/NCT03535688
4,Dry Needling for Patients With Back Pain,Recruiting,No Results Available,Back Pain,"Muscle, Bone, and Cartilage Diseases",Other: dry needling|Other: manual therapy|Other: therapeutic exercise,Other,Interventional,2018-08-01,"Concord Hospital Rehabilitation Services, Concord, New Hampshire, United States",https://ClinicalTrials.gov/show/NCT03586778
5,Objective Pain Score for Chronic Pain Clinic Patients,"Active, not recruiting",No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: Pain Assessment,Other,Observational,2016-10-01,"Milton S. Hershey Medical Center, Hershey, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT02882971
6,Impact of Physical Activity for Chronic Pelvic Pain,Completed,No Results Available,Pelvic Pain,pelvic,Behavioral: Physical Activity,Other,Interventional,2016-08-01,"University of Michigan, Ann Arbor, Michigan, United States",https://ClinicalTrials.gov/show/NCT02867774
7,Pain and Function After Orthopedic Surgery,Recruiting,No Results Available,Chronic Pain,Nervous System Diseases,Other: Observational,Other,Observational,2011-07-01,"Wake Forest Baptist Health, Winston-Salem, North Carolina, United States",https://ClinicalTrials.gov/show/NCT01390298
8,Allogeneic Human Mesenchymal Stem Cell Injection in PAtieNts With FaceTogenic Back Pain,Not yet recruiting,No Results Available,Facetogenic Back Pain|Back Pain,"Muscle, Bone, and Cartilage Diseases",Biological: Allogeneic Human Mesenchymal Stem Cells (hMSCs)|Drug: Placebo,Other,Interventional,2018-09-01,"ISCI / University of Miami Miller School of Medicine, Miami, Florida, United States",https://ClinicalTrials.gov/show/NCT03487731
9,Botulinum Toxin Type A Versus Saline Trigger Point Injections for Myofascial Pelvic Pain,"Active, not recruiting",No Results Available,Myofascial Pelvic Pain,pelvic,Drug: Intervention-Botulinum Toxin Type A|Drug: placebo,Other|Industry,Interventional,2013-07-01,"Boston Urogynecology Associates, Cambridge, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT01905137
11,Selecting Effective Combinations of Treatment for Low Back Pain,Not yet recruiting,No Results Available,Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Procedure: Lumbar medial branch nerve radiofrequency ablation (LRFA)|Procedure: Simulated LRFA with targeted steroid injections|Behavioral: AcTIVE-CBT|Behavioral: TBSCE,U.S. Fed,Interventional,2018-10-01,"VA Puget Sound Health Care System Seattle Division, Seattle, WA, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT03520387
12,Intrathecal Therapy for Chronic Non-Cancer Pain: An Analysis of Its Efficacy,Completed,No Results Available,Chronic Pain,Nervous System Diseases,,Other,Observational,2009-03-01,"Brigham and Women's Hospital, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT01564069
13,Enhanced Biofeedback for Musculoskeletal Pain,Completed,No Results Available,Musculoskeletal Pain,"Muscle, Bone, and Cartilage Diseases",Behavioral: Biofeedback Training (BT-CPR)|Behavioral: Biofeedback Training,Other,Interventional,2016-09-01,"University of Tulsa, Tulsa, Oklahoma, United States",https://ClinicalTrials.gov/show/NCT02920853
14,Pain Responses in Patients on Long-Term Opioid Therapy for Chronic Pain,"Active, not recruiting",No Results Available,Chronic Pain,Nervous System Diseases,Device: Quantitative Sensory Testing (QST),Other,Observational,2006-07-01,"MGH Center for Translational Pain Center, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT00656942
2007,Achilles Tendinosis Study; Comparison of Radiofrequency to Surgical MicroDebridement,Completed,No Results Available,Achilles Pain|Achilles Tendinosis|Heel Pain,"Muscle, Bone, and Cartilage Diseases",Device: plasma microdebrider|Procedure: Mechanical Surgical Debridement,Other,Interventional,2007-09-01,"Greater Chesapeake Orthopaedic Associates, Baltimore, Maryland, United States|Orthopaedic Foot and Ankle Center, Columbus, Ohio, United States",https://ClinicalTrials.gov/show/NCT00534781
3167,Efficacy Study of Continuous Intraarticular Infusion in Patients Undergoing Arthroscopic Knee and Shoulder Operations,Terminated,No Results Available,ACL Repair|Meniscectomy|Bankart Repair,"Muscle, Bone, and Cartilage Diseases",Drug: Bupivacaine,Other,Interventional,2005-08-01,"The Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT00314457
17,Voices in Pain Care,Recruiting,No Results Available,Chronic Pain,Nervous System Diseases,Other: Clinical Decision Support|Other: Patient Education and Activation Tools,Other,Interventional,2017-11-13,"Cedars-Sinai Medical Center, Los Angeles, California, United States",https://ClinicalTrials.gov/show/NCT03301623
18,"The Use of Resting State, fMRI and DTI in the Identification of Chronic Pain Conditions",Recruiting,No Results Available,Chronic Pain,Nervous System Diseases,,Industry|Other,Observational,2016-11-01,"WNY MRI, Buffalo, New York, United States",https://ClinicalTrials.gov/show/NCT02987933
19,Pain Study to See if Ultram ER Will Provide Relief to Subjects Whose Pain is Not Well Controlled by Narcotics,Terminated,No Results Available,Chronic Pain,Nervous System Diseases,Drug: Tramadol Extended Release Oral Capsule|Drug: Benadryl,Other|Industry,Observational,2007-06-01,"MGH Center for Translational Pain Research, Boston, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT00505531
20,Examining Racial and SocioEconomic Disparities (ERASED) in Chronic Low Back Pain Study,Recruiting,No Results Available,Back Pain Lower Back Chronic,"Muscle, Bone, and Cartilage Diseases",Other: QST,Other|NIH,Observational,2017-10-15,"UAB, Birmingham, Alabama, United States",https://ClinicalTrials.gov/show/NCT03338192
21,Effects of a Patient Driven Assessment Process With Complex Pain Patients,Completed,No Results Available,Chronic Pain,Nervous System Diseases,Other: The MySupport tool,Other,Interventional,2012-10-01,"Kaiser Permanente Center for Health Research, Portland, Oregon, United States",https://ClinicalTrials.gov/show/NCT02746354
22,Intra-vaginal Electrical Stimulation Device Compared to Sham Device for Chronic Pelvic Pain,Completed,Has Results,Pelvic Pain,pelvic,Device: ApexM|Device: Sham Device,Other,Interventional,2015-04-01,"Cleveland Clinic Foundation, Cleveland, Ohio, United States",https://ClinicalTrials.gov/show/NCT02397785
23,Yoga and Occupational Therapy to Improve Pain,Completed,No Results Available,Chronic Pain,Nervous System Diseases,Other: Yoga|Other: Self-management,Other,Interventional,2015-08-01,"UC Health Fort Collins Family Medicine Residency Program Pain Management Clinic, Fort Collins, Colorado, United States",https://ClinicalTrials.gov/show/NCT03010878
24,Post Market Study of the Electrophysiological Course of Low Back Pain Using CERSR Technology,Terminated,No Results Available,Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Other: Physical Therapy,Industry,Observational,2011-04-01,"Orthopaedic Clinic of Daytona Beach, Daytona Beach, Florida, United States",https://ClinicalTrials.gov/show/NCT01403870
25,The Effect of Yoga in Chronic Low Back Pain,Completed,No Results Available,Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Other: Yoga,Other,Interventional,2013-08-01,"University of Kansas Medical Center, Kansas City, Kansas, United States",https://ClinicalTrials.gov/show/NCT01963871
26,Mobile Phone Technology for Chronic Pain Patients- A Feasibility Study,Terminated,No Results Available,Chronic Pain,Nervous System Diseases,Other: Electronic Diary|Other: Questionnaire,Other,Observational,2015-05-01,"Weill Cornell Pain Medicine Center, New York, New York, United States",https://ClinicalTrials.gov/show/NCT02447107
28,Tenaculum Pain Control Study,Completed,Has Results,Cervical Pain|Pelvic Pain,pelvic,Drug: Intracervical Lidocaine Injection|Drug: Topical Lidocaine Gel,Other,Interventional,2011-09-01,"Oregon Health & Science University, Portland, Oregon, United States",https://ClinicalTrials.gov/show/NCT01421641
